PID,Lot Area,Neighborhood,Bldg Type,Overall Qual,Overall Cond,Exterior 1st,Foundation,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom,Misc Feature,Misc Val,Mo Sold,SalePrice
527358200,10625.0,NWAmes,1Fam,7.0,6,Plywood,CBlock,1173,0,0,1173.0,1.0,0.0,2,0.0,3,,0,1.0,170000.0
527368020,7500.0,Somerst,1Fam,7.0,5,VinylSd,PConc,814,860,0,1674.0,1.0,0.0,2,1.0,3,,0,1.0,216000.0
527402200,11241.0,NAmes,1Fam,6.0,7,Wd Sdng,CBlock,1004,0,0,1004.0,1.0,0.0,1,0.0,2,Shed,700,3.0,149000.0
527402250,12537.0,NAmes,1Fam,5.0,6,VinylSd,CBlock,1078,0,0,1078.0,1.0,0.0,1,1.0,3,,0,4.0,149900.0
527403020,,NAmes,1Fam,5.0,6,VinylSd,CBlock,1056,0,0,1056.0,1.0,0.0,1,0.0,3,,0,7.0,142000.0
527404120,8400.0,NAmes,1Fam,4.0,5,Plywood,CBlock,882,0,0,,1.0,0.0,1,0.0,2,,0,4.0,126000.0
527425090,10500.0,NAmes,1Fam,4.0,5,HdBoard,CBlock,864,0,0,864.0,0.0,0.0,1,0.0,3,,0,,115000.0
527427230,5858.0,NAmes,TwnhsE,7.0,5,MetalSd,PConc,1337,0,0,1337.0,1.0,0.0,2,0.0,2,,0,6.0,184000.0
527451180,1680.0,BrDale,Twnhs,6.0,5,HdBoard,CBlock,483,504,0,987.0,0.0,0.0,1,,2,,0,2.0,96000.0
527451330,1680.0,BrDale,Twnhs,5.0,5,HdBoard,CBlock,525,567,0,1092.0,0.0,0.0,1,1.0,3,,0,3.0,105500.0
527451410,1680.0,BrDale,Twnhs,6.0,5,HdBoard,CBlock,525,567,0,,0.0,0.0,1,1.0,3,,0,3.0,88000.0
527452190,4043.0,NPkVill,TwnhsE,6.0,5,Plywood,CBlock,1069,0,0,1069.0,0.0,0.0,2,0.0,2,,0,7.0,127500.0
527453130,2280.0,NPkVill,Twnhs,6.0,6,Plywood,CBlock,855,601,0,,0.0,0.0,2,1.0,3,,0,6.0,149900.0
527453150,2280.0,NPkVill,Twnhs,7.0,6,Plywood,CBlock,836,0,0,836.0,0.0,0.0,1,0.0,2,,0,6.0,120000.0
527454200,2280.0,NPkVill,Twnhs,6.0,5,Plywood,CBlock,855,601,0,1456.0,0.0,0.0,2,1.0,3,,0,7.0,146000.0
528108120,12858.0,NridgHt,1Fam,9.0,5,VinylSd,PConc,1627,707,0,2334.0,0.0,0.0,2,1.0,3,,0,1.0,376162.0
528112020,11478.0,NridgHt,1Fam,8.0,5,VinylSd,PConc,1704,0,0,1704.0,1.0,0.0,2,0.0,3,,0,5.0,306000.0
528120060,10159.0,NridgHt,1Fam,9.0,5,VinylSd,PConc,1940,0,0,1940.0,1.0,0.0,2,1.0,3,,0,4.0,395192.0
528120090,12883.0,NridgHt,1Fam,8.0,5,VinylSd,PConc,1544,0,0,1544.0,0.0,0.0,2,0.0,3,,0,6.0,290941.0
528120100,12182.0,NridgHt,1Fam,7.0,5,VinylSd,PConc,1541,0,0,1541.0,0.0,0.0,2,0.0,3,,0,5.0,220000.0
528120120,11520.0,NridgHt,1Fam,9.0,5,VinylSd,PConc,1698,0,0,1698.0,0.0,0.0,2,0.0,3,,0,6.0,275000.0
528138020,14122.0,NridgHt,1Fam,8.0,5,CemntBd,PConc,1822,0,0,1822.0,0.0,0.0,2,0.0,3,,0,2.0,259000.0
528138060,10171.0,NridgHt,1Fam,7.0,5,VinylSd,PConc,1535,0,0,,0.0,0.0,2,0.0,3,,0,3.0,214000.0
528150070,12919.0,NridgHt,1Fam,9.0,5,VinylSd,PConc,2364,0,0,2364.0,1.0,0.0,2,1.0,2,,0,3.0,611657.0
528175010,6371.0,NridgHt,TwnhsE,7.0,5,VinylSd,PConc,1358,0,0,1358.0,1.0,0.0,2,0.0,2,,0,6.0,224000.0
528176010,14300.0,NridgHt,1Fam,9.0,5,VinylSd,PConc,2696,0,0,2696.0,1.0,0.0,2,,3,,0,6.0,500000.0
528176070,13650.0,NridgHt,1Fam,8.0,5,VinylSd,PConc,1687,563,0,2250.0,1.0,0.0,2,1.0,3,,0,6.0,320000.0
528180070,7658.0,NridgHt,TwnhsE,9.0,5,MetalSd,PConc,1752,0,0,1752.0,1.0,0.0,2,0.0,2,,0,2.0,319900.0
528181050,7132.0,NridgHt,TwnhsE,8.0,5,VinylSd,PConc,1370,0,0,1370.0,0.0,0.0,2,0.0,2,,0,4.0,205000.0
528188120,2628.0,NridgHt,Twnhs,7.0,5,VinylSd,PConc,764,862,0,1626.0,0.0,0.0,2,1.0,2,,0,6.0,175500.0
528218150,18494.0,Gilbert,1Fam,6.0,5,VinylSd,PConc,1324,0,0,1324.0,0.0,0.0,2,0.0,3,,0,1.0,199500.0
528228285,3203.0,Blmngtn,TwnhsE,7.0,5,VinylSd,PConc,1145,0,0,1145.0,0.0,0.0,2,0.0,2,,0,1.0,160000.0
528228440,3182.0,Blmngtn,TwnhsE,8.0,5,VinylSd,PConc,1269,0,0,1269.0,0.0,0.0,2,0.0,2,,0,4.0,192000.0
528231020,13300.0,Gilbert,1Fam,7.0,5,VinylSd,PConc,744,630,0,1374.0,1.0,0.0,2,1.0,3,,0,6.0,184500.0
528240070,7851.0,Gilbert,1Fam,6.0,5,VinylSd,PConc,860,1100,0,,1.0,0.0,2,1.0,4,,0,5.0,216500.0
528240130,8577.0,Gilbert,1Fam,7.0,5,VinylSd,PConc,847,886,0,1733.0,0.0,0.0,2,1.0,3,,0,4.0,185088.0
528250100,7750.0,Gilbert,1Fam,7.0,5,VinylSd,PConc,774,656,0,1430.0,0.0,0.0,2,1.0,3,,0,4.0,180000.0
528292020,9505.0,Gilbert,1Fam,7.0,5,VinylSd,PConc,884,1151,0,2035.0,0.0,0.0,2,1.0,3,,0,5.0,222500.0
528328100,14774.0,NoRidge,1Fam,9.0,5,VinylSd,PConc,1422,1177,0,2599.0,0.0,0.0,2,1.0,4,,0,5.0,333168.0
528344070,17433.0,NoRidge,1Fam,8.0,5,VinylSd,PConc,1645,830,0,2475.0,0.0,0.0,2,1.0,4,,0,1.0,355000.0
528358010,10593.0,NoRidge,1Fam,7.0,5,VinylSd,PConc,1720,0,0,1720.0,1.0,0.0,2,0.0,3,,0,3.0,260400.0
528363130,12256.0,NoRidge,1Fam,8.0,5,HdBoard,PConc,1500,1122,0,2622.0,1.0,0.0,2,1.0,3,,0,4.0,325000.0
528382020,11764.0,NoRidge,1Fam,8.0,7,VinylSd,PConc,1164,1106,0,2270.0,0.0,0.0,2,1.0,4,,0,4.0,290000.0
528382030,16770.0,NoRidge,1Fam,7.0,5,VinylSd,PConc,1195,644,0,1839.0,0.0,0.0,2,1.0,4,,0,6.0,221000.0
528386040,14720.0,NoRidge,1Fam,8.0,5,VinylSd,PConc,2053,1185,0,3238.0,1.0,0.0,2,1.0,4,,0,3.0,410000.0
528445060,8987.0,Somerst,1Fam,8.0,5,VinylSd,PConc,1595,0,0,1595.0,0.0,0.0,2,0.0,2,,0,5.0,221500.0
528456160,9215.0,Somerst,1Fam,7.0,5,VinylSd,PConc,1218,0,0,1218.0,0.0,0.0,2,0.0,2,,0,4.0,204500.0
528458070,8640.0,Somerst,1Fam,7.0,5,VinylSd,PConc,764,783,0,1547.0,0.0,0.0,2,1.0,3,,0,6.0,215200.0
528458110,9000.0,Somerst,1Fam,8.0,5,VinylSd,PConc,1566,0,0,1566.0,1.0,0.0,2,0.0,3,,0,4.0,262500.0
528477080,12552.0,Somerst,1Fam,7.0,5,VinylSd,PConc,991,956,0,1947.0,0.0,0.0,2,1.0,3,,0,5.0,254900.0
528480090,10440.0,Somerst,1Fam,6.0,5,VinylSd,PConc,1468,0,0,1468.0,1.0,0.0,2,0.0,2,,0,5.0,271500.0
531367050,10142.0,SawyerW,1Fam,7.0,5,VinylSd,PConc,956,1128,0,2084.0,1.0,0.0,2,1.0,4,,0,1.0,233000.0
531369060,11920.0,SawyerW,1Fam,7.0,5,VinylSd,PConc,831,828,0,1659.0,0.0,0.0,2,1.0,3,,0,4.0,181000.0
531380080,8880.0,SawyerW,1Fam,7.0,5,VinylSd,PConc,1222,888,0,,1.0,0.0,2,1.0,3,,0,5.0,205000.0
531451110,8012.0,SawyerW,TwnhsE,6.0,5,Plywood,CBlock,923,0,0,923.0,0.0,0.0,2,0.0,2,,0,5.0,143000.0
531451280,11218.0,SawyerW,1Fam,6.0,5,Wd Sdng,PConc,1055,790,0,1845.0,0.0,0.0,2,1.0,3,Shed,400,5.0,189000.0
531452020,7892.0,SawyerW,TwnhsE,6.0,5,Plywood,CBlock,918,0,0,918.0,0.0,0.0,2,0.0,2,,0,4.0,99500.0
531452050,7175.0,SawyerW,TwnhsE,6.0,5,Plywood,CBlock,752,0,0,,1.0,0.0,1,0.0,2,,0,2.0,125000.0
531452180,9453.0,SawyerW,1Fam,7.0,7,HdBoard,PConc,1014,730,0,1744.0,0.0,0.0,2,1.0,3,,0,2.0,194500.0
531453010,9672.0,SawyerW,1Fam,6.0,5,HdBoard,PConc,1097,0,0,1097.0,0.0,0.0,2,0.0,3,,0,5.0,152000.0
531453040,8400.0,SawyerW,1Fam,6.0,6,HdBoard,CBlock,888,676,0,1564.0,0.0,0.0,2,1.0,3,,0,4.0,171000.0
531477050,9800.0,SawyerW,1Fam,5.0,5,Wd Sdng,BrkTil,1012,0,0,1012.0,0.0,0.0,1,0.0,2,,0,4.0,67500.0
532351140,8930.0,Sawyer,Duplex,6.0,5,VinylSd,Slab,1318,584,0,1902.0,0.0,0.0,2,0.0,4,,0,4.0,112000.0
532354090,11782.0,Sawyer,1Fam,5.0,7,HdBoard,CBlock,1155,0,0,1155.0,1.0,0.0,1,0.0,3,,400,6.0,148000.0
532376160,8450.0,Sawyer,1Fam,5.0,8,MetalSd,CBlock,894,0,0,,1.0,0.0,1,0.0,3,,0,4.0,138500.0
532377060,9819.0,Sawyer,1Fam,5.0,5,MetalSd,CBlock,900,0,0,900.0,0.0,0.0,1,0.0,3,,0,2.0,122000.0
532377100,7500.0,Sawyer,1Fam,5.0,5,HdBoard,CBlock,1040,0,0,1040.0,1.0,0.0,1,1.0,3,,0,6.0,133000.0
532378110,6897.0,Sawyer,1Fam,5.0,8,HdBoard,CBlock,1040,0,0,1040.0,1.0,0.0,1,1.0,3,,0,,127000.0
532479070,15410.0,Sawyer,1Fam,6.0,6,Plywood,CBlock,1494,0,0,1494.0,1.0,0.0,2,0.0,3,,0,4.0,169000.0
533130020,10186.0,NoRidge,1Fam,7.0,5,HdBoard,PConc,1061,862,0,1923.0,1.0,0.0,2,1.0,3,,0,6.0,190000.0
533130130,13143.0,NoRidge,1Fam,8.0,5,HdBoard,PConc,1251,1098,0,2349.0,1.0,0.0,2,1.0,4,,0,6.0,362500.0
533130160,11134.0,NoRidge,1Fam,8.0,5,HdBoard,PConc,1402,823,0,2225.0,1.0,0.0,2,1.0,4,,0,6.0,285000.0
533205060,4835.0,Somerst,TwnhsE,7.0,5,MetalSd,PConc,1488,0,0,1488.0,1.0,0.0,2,0.0,2,,0,3.0,260000.0
533208090,3515.0,Somerst,TwnhsE,7.0,5,VinylSd,PConc,840,840,0,1680.0,0.0,0.0,2,1.0,2,,0,1.0,190000.0
533210060,3215.0,Somerst,TwnhsE,7.0,5,MetalSd,PConc,600,600,0,,0.0,0.0,2,1.0,2,,0,4.0,155000.0
533212010,3182.0,Somerst,TwnhsE,,5,MetalSd,PConc,600,600,0,1200.0,0.0,0.0,2,1.0,2,,0,6.0,151000.0
533212020,2544.0,Somerst,Twnhs,7.0,5,MetalSd,PConc,600,600,0,1200.0,1.0,0.0,2,1.0,2,,0,2.0,149500.0
533212060,2544.0,Somerst,Twnhs,6.0,5,VinylSd,PConc,600,636,0,1236.0,1.0,0.0,2,1.0,2,,0,5.0,152000.0
533213030,4403.0,Somerst,1Fam,7.0,5,MetalSd,PConc,1478,0,0,1478.0,1.0,0.0,2,1.0,2,,0,6.0,222000.0
533221090,2117.0,Somerst,Twnhs,6.0,5,MetalSd,PConc,769,804,0,1573.0,0.0,0.0,2,1.0,3,,0,6.0,177500.0
533221110,2980.0,Somerst,TwnhsE,6.0,5,MetalSd,PConc,756,756,0,1512.0,1.0,0.0,2,1.0,2,,0,5.0,177000.0
533223020,2572.0,Somerst,Twnhs,7.0,5,MetalSd,PConc,696,720,0,1416.0,1.0,0.0,2,1.0,3,,0,5.0,155000.0
533223100,2403.0,Somerst,TwnhsE,7.0,5,VinylSd,PConc,530,550,0,1080.0,0.0,0.0,2,1.0,2,,0,6.0,147110.0
533238045,12853.0,Somerst,1Fam,8.0,5,CemntBd,PConc,1418,0,0,1418.0,1.0,0.0,1,1.0,1,,0,4.0,267916.0
533244030,7379.0,Somerst,1Fam,8.0,5,VinylSd,PConc,975,873,0,1848.0,1.0,0.0,2,1.0,3,,0,4.0,254000.0
533253060,4420.0,Greens,TwnhsE,8.0,5,Wd Sdng,CBlock,788,0,0,,1.0,0.0,1,0.0,1,,0,6.0,155000.0
533253210,3880.0,Greens,Twnhs,8.0,6,Wd Sdng,CBlock,1226,0,0,1226.0,1.0,0.0,1,0.0,1,,0,1.0,206000.0
533352170,13517.0,Sawyer,1Fam,6.0,8,HdBoard,CBlock,725,754,0,1479.0,0.0,0.0,2,1.0,3,,0,3.0,130500.0
534102025,8000.0,Somerst,1Fam,7.0,5,VinylSd,PConc,1492,0,0,1492.0,1.0,0.0,2,0.0,3,,0,4.0,230000.0
534129040,10456.0,NWAmes,1Fam,6.0,6,HdBoard,CBlock,1829,0,0,1829.0,1.0,0.0,2,0.0,4,,0,5.0,218500.0
534151175,10791.0,NWAmes,1Fam,6.0,5,MetalSd,PConc,1280,1215,0,2495.0,1.0,0.0,2,1.0,4,,0,3.0,243500.0
534152050,10603.0,NWAmes,1Fam,6.0,7,Plywood,PConc,1610,0,0,1610.0,1.0,0.0,2,0.0,3,,0,2.0,205000.0
534152070,18837.0,NWAmes,1Fam,6.0,5,MetalSd,PConc,1287,604,0,1891.0,0.0,1.0,3,0.0,3,,0,4.0,212500.0
534152100,10421.0,NWAmes,1Fam,7.0,5,HdBoard,CBlock,980,734,0,,0.0,0.0,2,1.0,3,,500,3.0,196500.0
534176060,9360.0,NWAmes,1Fam,6.0,7,Plywood,CBlock,1381,0,0,1381.0,1.0,0.0,1,1.0,3,,0,3.0,197500.0
534176230,9600.0,NWAmes,1Fam,6.0,6,MetalSd,CBlock,930,715,0,1645.0,0.0,0.0,1,2.0,4,,0,,171000.0
534202160,9600.0,NAmes,1Fam,5.0,5,VinylSd,CBlock,1232,0,0,,1.0,0.0,1,1.0,3,,0,4.0,142250.0
534251320,9790.0,NWAmes,1Fam,6.0,5,HdBoard,CBlock,1328,0,0,1328.0,1.0,0.0,1,1.0,3,,0,6.0,143000.0
534276360,9320.0,NAmes,1Fam,4.0,5,Plywood,CBlock,1225,0,0,1225.0,1.0,0.0,1,1.0,3,Shed,400,1.0,128950.0
534401110,9900.0,NAmes,1Fam,5.0,5,HdBoard,PConc,1209,0,0,1209.0,1.0,0.0,1,0.0,3,,0,4.0,159000.0
534401140,9680.0,NAmes,1Fam,5.0,6,Wd Sdng,CBlock,1510,0,0,,1.0,0.0,2,,3,,0,4.0,178900.0
534403360,10600.0,NAmes,1Fam,6.0,5,HdBoard,CBlock,1131,644,0,1775.0,0.0,0.0,2,0.0,3,,0,5.0,136300.0
534403410,14112.0,NAmes,1Fam,5.0,7,Wd Sdng,PConc,1152,0,0,1152.0,1.0,0.0,1,0.0,3,,0,4.0,180500.0
534425310,8800.0,NAmes,1Fam,6.0,7,MetalSd,PConc,1054,0,0,1054.0,1.0,0.0,1,0.0,3,,0,5.0,137500.0
534427010,13260.0,NAmes,Duplex,5.0,6,HdBoard,CBlock,1728,0,0,1728.0,2.0,0.0,2,0.0,6,,0,1.0,84900.0
534430080,9717.0,NAmes,1Fam,5.0,6,MetalSd,CBlock,1078,0,0,1078.0,1.0,0.0,1,0.0,2,,0,4.0,142125.0
534431050,9724.0,NAmes,1Fam,5.0,7,MetalSd,CBlock,1929,532,0,2461.0,0.0,0.0,2,0.0,3,,0,3.0,197600.0
534431070,17360.0,NAmes,1Fam,6.0,6,MetalSd,CBlock,1019,537,0,1556.0,0.0,0.0,2,0.0,3,,0,1.0,172500.0
534450180,,BrkSide,1Fam,5.0,7,Wd Sdng,CBlock,858,0,0,858.0,1.0,0.0,1,0.0,2,,0,2.0,116500.0
534451150,5350.0,BrkSide,1Fam,3.0,2,Wd Sdng,CBlock,1306,0,0,1306.0,0.0,0.0,1,0.0,3,Shed,450,5.0,76500.0
534475100,9920.0,NAmes,1Fam,5.0,5,HdBoard,CBlock,1063,0,0,1063.0,1.0,0.0,1,,3,,0,2.0,128000.0
534476260,9600.0,NAmes,1Fam,6.0,6,AsbShng,CBlock,1520,0,0,1520.0,1.0,0.0,1,0.0,3,,0,3.0,153000.0
534479320,7800.0,NAmes,1Fam,5.0,6,HdBoard,PConc,1268,0,0,1268.0,0.0,0.0,1,0.0,2,,0,3.0,132000.0
535101020,11380.0,NAmes,1Fam,6.0,8,HdBoard,CBlock,1128,0,0,1128.0,1.0,0.0,1,0.0,2,Shed,1500,1.0,178000.0
535106190,11600.0,NAmes,Duplex,5.0,5,MetalSd,CBlock,1105,1169,0,2274.0,0.0,0.0,2,0.0,5,,0,,154300.0
535125010,19900.0,NAmes,1Fam,7.0,5,Plywood,CBlock,2207,0,0,2207.0,1.0,0.0,2,0.0,3,,0,7.0,180000.0
535126040,16492.0,NAmes,1Fam,6.0,6,BrkFace,CBlock,1888,0,0,1888.0,0.0,0.0,2,1.0,2,,0,6.0,190000.0
535152010,8267.0,NAmes,Duplex,5.0,5,HdBoard,CBlock,1604,0,0,1604.0,0.0,0.0,2,0.0,4,,0,3.0,135000.0
535152050,8197.0,NAmes,1Fam,7.0,5,VinylSd,PConc,1480,0,0,1480.0,1.0,0.0,2,0.0,3,Shed,300,2.0,214000.0
535152130,8050.0,NAmes,1Fam,5.0,5,MetalSd,CBlock,1143,0,0,1143.0,1.0,0.0,1,0.0,3,,0,5.0,136000.0
535152150,10552.0,NAmes,1Fam,5.0,5,BrkFace,CBlock,1700,0,0,1700.0,0.0,1.0,1,1.0,4,,0,4.0,165500.0
535152250,8400.0,NAmes,1Fam,5.0,6,MetalSd,CBlock,1314,0,0,1314.0,1.0,0.0,1,0.0,3,,0,6.0,145000.0
535153070,8760.0,NAmes,1Fam,6.0,6,MetalSd,CBlock,1194,0,0,1194.0,1.0,0.0,1,0.0,3,,0,4.0,148000.0
535154050,,NAmes,1Fam,5.0,5,Plywood,CBlock,1188,0,0,1188.0,1.0,0.0,1,0.0,3,,0,5.0,142000.0
535175070,9300.0,NAmes,1Fam,5.0,5,MetalSd,CBlock,1264,0,0,1264.0,1.0,0.0,1,0.0,3,,0,4.0,167500.0
535175180,10725.0,NAmes,1Fam,5.0,5,MetalSd,CBlock,1206,0,0,1206.0,0.0,0.0,1,0.0,3,,0,5.0,108538.0
535179020,10032.0,NAmes,1Fam,6.0,5,Wd Sdng,CBlock,1580,0,0,1580.0,1.0,0.0,1,,3,,0,6.0,159500.0
535180130,8382.0,NAmes,1Fam,4.0,5,MetalSd,CBlock,832,505,0,1337.0,0.0,0.0,1,0.0,3,,0,2.0,108000.0
535302080,10950.0,NAmes,1Fam,5.0,7,WdShing,CBlock,1064,0,0,1064.0,0.0,1.0,1,0.0,2,,0,5.0,135000.0
535302200,10895.0,NAmes,1Fam,5.0,6,MetalSd,CBlock,972,0,0,972.0,0.0,0.0,1,0.0,3,,0,6.0,122500.0
535304060,13587.0,NAmes,2fmCon,5.0,5,MetalSd,CBlock,988,0,0,988.0,1.0,0.0,1,0.0,2,,0,4.0,119000.0
535304180,7922.0,NAmes,1Fam,,7,VinylSd,CBlock,1057,0,0,1057.0,1.0,0.0,1,0.0,3,,0,1.0,109000.0
535325400,7898.0,NAmes,1Fam,4.0,7,MetalSd,BrkTil,985,0,0,985.0,0.0,1.0,1,0.0,2,,0,4.0,105000.0
535327140,7200.0,NAmes,1Fam,5.0,7,VinylSd,Slab,827,0,0,827.0,0.0,0.0,1,0.0,2,,0,4.0,107500.0
535350030,,NAmes,1Fam,5.0,7,Wd Sdng,CBlock,1086,0,0,1086.0,1.0,0.0,1,0.0,3,,0,5.0,144900.0
535350040,5868.0,NAmes,1Fam,5.0,7,MetalSd,CBlock,936,0,0,,1.0,0.0,1,0.0,2,,0,5.0,129000.0
535353190,17503.0,NAmes,1Fam,6.0,5,VinylSd,CBlock,912,546,0,1458.0,0.0,1.0,1,0.0,3,,0,1.0,97500.0
535377090,6979.0,OldTown,Duplex,6.0,5,Plywood,CBlock,1056,0,0,1056.0,2.0,0.0,0,0.0,0,Shed,600,6.0,144000.0
535401080,9830.0,NAmes,1Fam,5.0,7,Wd Sdng,CBlock,1287,0,0,1287.0,1.0,0.0,1,0.0,3,,0,,162000.0
535425010,11275.0,NAmes,1Fam,7.0,7,Wd Sdng,CBlock,1898,1080,0,2978.0,0.0,0.0,2,1.0,5,,0,6.0,242000.0
535450210,8064.0,NAmes,1Fam,6.0,8,WdShing,CBlock,816,408,0,1224.0,1.0,0.0,1,0.0,3,,0,5.0,132000.0
535453070,7500.0,NAmes,1Fam,5.0,7,BrkFace,CBlock,1246,0,0,1246.0,1.0,0.0,1,1.0,3,,0,5.0,154000.0
535454070,8520.0,NAmes,1Fam,5.0,4,BrkFace,CBlock,910,475,0,1385.0,0.0,0.0,2,0.0,4,,0,6.0,166000.0
535456110,7200.0,NAmes,1Fam,5.0,7,Wd Sdng,CBlock,900,0,0,900.0,0.0,1.0,1,0.0,3,,0,5.0,134800.0
535457010,10000.0,NAmes,1Fam,6.0,6,Wd Sdng,CBlock,1116,0,0,1116.0,0.0,0.0,1,1.0,3,,0,2.0,160000.0
535457090,7635.0,NAmes,1Fam,5.0,6,BrkFace,CBlock,1175,0,0,1175.0,0.0,0.0,1,1.0,3,,0,6.0,148000.0
535476350,9760.0,NAmes,1Fam,6.0,7,Wd Sdng,CBlock,1395,0,0,1395.0,1.0,0.0,1,0.0,2,,0,5.0,192000.0
535477020,7700.0,NAmes,1Fam,6.0,5,MetalSd,CBlock,1051,788,0,1839.0,0.0,0.0,1,1.0,4,,0,6.0,155000.0
902102100,4800.0,OldTown,1Fam,4.0,5,Wd Sdng,PConc,1157,687,0,1844.0,1.0,0.0,1,0.0,3,,0,1.0,80400.0
902104060,8800.0,OldTown,1Fam,4.0,7,Wd Sdng,BrkTil,792,348,0,,0.0,0.0,1,0.0,3,,0,6.0,96500.0
902106130,4485.0,OldTown,1Fam,5.0,7,Wd Sdng,PConc,936,0,0,936.0,1.0,0.0,1,0.0,2,,0,5.0,109500.0
902106140,8960.0,OldTown,1Fam,5.0,6,WdShing,CBlock,1028,0,0,1028.0,0.0,0.0,1,0.0,2,,0,3.0,115000.0
902110090,5805.0,OldTown,1Fam,5.0,7,MetalSd,CBlock,1347,0,0,1347.0,1.0,1.0,1,0.0,3,,0,6.0,143000.0
902125080,5790.0,OldTown,1Fam,3.0,6,VinylSd,CBlock,840,765,0,,0.0,0.0,2,0.0,3,,0,5.0,107400.0
902125160,4608.0,OldTown,1Fam,4.0,6,MetalSd,CBlock,747,0,0,747.0,0.0,0.0,1,0.0,2,,0,,80000.0
902128170,7200.0,OldTown,1Fam,5.0,7,MetalSd,CBlock,804,0,0,804.0,1.0,0.0,1,0.0,2,,0,2.0,119000.0
902206040,5500.0,OldTown,1Fam,5.0,7,Wd Sdng,BrkTil,926,0,390,1316.0,1.0,0.0,1,0.0,3,,0,4.0,130000.0
902206130,6900.0,OldTown,1Fam,6.0,7,MetalSd,PConc,827,424,0,1251.0,0.0,0.0,1,0.0,3,,0,1.0,119000.0
902206220,11851.0,OldTown,1Fam,5.0,7,VinylSd,BrkTil,1027,606,0,1633.0,0.0,0.0,1,0.0,3,,0,6.0,129000.0
902206240,8239.0,OldTown,1Fam,5.0,6,MetalSd,BrkTil,1060,185,0,1245.0,0.0,0.0,1,0.0,3,,0,3.0,100000.0
